               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.040868,            0.010853,                   0,              0.8801,             0.84887,             0.87827,             0.39572,             0.04171,           0.0072568,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.040725,            0.010924,                   0,             0.87216,             0.83539,             0.86583,             0.38389,            0.040906,           0.0071047,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.040123,            0.010862,                   0,             0.85093,             0.85034,             0.85409,             0.38416,            0.041815,           0.0072812,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.039958,            0.010734,                   0,             0.85226,             0.83673,               0.845,             0.39321,            0.041285,           0.0073767,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.040406,            0.010876,                   0,             0.82059,             0.85714,             0.84153,             0.40264,            0.040072,           0.0070716,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.039161,            0.011055,                   0,             0.85214,             0.82993,             0.84816,             0.41024,            0.041324,           0.0071149,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.038737,            0.011061,                   0,             0.82026,             0.88435,             0.86143,             0.40539,            0.040166,            0.007338,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.039371,            0.010851,                   0,             0.86466,             0.79592,             0.85877,             0.42283,            0.040066,           0.0070963,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.039781,            0.010984,                   0,              0.8664,             0.82313,             0.86589,             0.41728,             0.04007,           0.0073583,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.039093,            0.010478,                   0,             0.79325,             0.80272,             0.83415,             0.40524,            0.039949,           0.0071048,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.037907,            0.010141,                   0,              0.8521,             0.84354,             0.85046,             0.40653,            0.039437,           0.0069543,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.036802,             0.01066,                   0,             0.81187,             0.85138,               0.853,             0.43172,            0.039075,           0.0069948,                   0,            0.001684,            0.001684,            0.001684
